Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Player-additional,NFL_id
Bo Nix,QB,Oregon,College Stats,6-2,214,,,,,,,Denver Broncos / 1st / 12th pick / 2024,NixxBo00,4426338
Maema Njongmeta,LB,Wisconsin,College Stats,6-0,229,4.91,,,,,4.66,,NjonMa00,4428125
Hunter Nourzad,C,Penn St.,College Stats,6-3,317,,,,,,,Kansas City Chiefs / 5th / 159th pick / 2024,NourHu00,N/A
Tyler Nubin,SAF,Minnesota,College Stats,6-1,199,,,,,,,New York Giants / 2nd / 47th pick / 2024,NubiTy00,4430261
Drake Nugent,C,Michigan,College Stats,6-2,298,5.23,29.5,,101.0,7.33,4.5,,NugeDr00,N/A
Rome Odunze,WR,Washington,College Stats,6-3,212,4.45,39.0,,124.0,6.88,4.03,Chicago Bears / 1st / 9th pick / 2024,OdunRo00,4431299
Eyabi Okie-Anoma,EDGE,Charlotte,,6-5,260,,,,,,,,-9999,N/A
Olakitan Oladapo,SAF,Oregon St.,,6-2,216,4.58,36.0,15.0,117.0,,,,-9999,N/A
Ruke Orhorhoro,DT,Clemson,College Stats,6-4,294,4.89,32.0,29.0,116.0,,,Atlanta Falcons / 2nd / 35th pick / 2024,OrhoRu00,4430271
Tyler Owens,SAF,Texas Tech,College Stats,6-2,216,,41.0,,146.0,,,,OwenTy00,4572460
Patrick Paul,OT,Houston,College Stats,6-8,331,5.13,29.0,,,7.65,,Miami Dolphins / 2nd / 55th pick / 2024,PaulPa01,N/A
Julian Pearl,OT,Illinois,College Stats,6-6,312,,,,,,,,PearJu00,N/A
Ricky Pearsall,WR,Florida,College Stats,6-1,189,4.41,42.0,17.0,129.0,6.64,4.05,San Francisco 49ers / 1st / 31st pick / 2024,PearRi00,4428209
Andru Phillips,CB,Kentucky,College Stats,5-11,190,4.48,42.0,,135.0,,,New York Giants / 3rd / 70th pick / 2024,PhilAn02,4431321
Prince Pines,G,Tulane,College Stats,6-5,322,5.34,30.0,,,,,,PinePr00,N/A
Ja'Lynn Polk,WR,Washington,College Stats,6-1,203,4.52,37.5,,129.0,,,New England Patriots / 2nd / 37th pick / 2024,PolkJa00,4430637
Jackson Powers-Johnson,C,Oregon,College Stats,6-3,328,,32.0,,104.0,,,Las Vegas Raiders / 2nd / 44th pick / 2024,PoweJa00,4875295
Sedrick Van Pran-Granger,C,Georgia,,6-4,298,5.2,,,,7.46,4.82,,-9999,N/A
Michael Pratt,QB,Tulane,College Stats,6-3,217,,36.0,,114.0,7.2,4.23,Green Bay Packers / 7th / 245th pick / 2024,PratMi00,N/A
Deantre Prince,CB,Mississippi,College Stats,6-0,183,4.38,34.5,,125.0,,,Jacksonville Jaguars / 5th / 153rd pick / 2024,PrinDe01,4428283
Nehemiah Pritchett,CB,Auburn,College Stats,6-0,190,4.36,34.5,,,,,Seattle Seahawks / 5th / 136th pick / 2024,PritNe00,4567222
Josh Proctor,SAF,Ohio St.,College Stats,6-2,199,4.55,32.5,,121.0,,,,ProcJo00,N/A
Dominick Puni,G,Kansas,College Stats,6-5,313,5.35,30.0,,107.0,7.47,4.4,San Francisco 49ers / 3rd / 86th pick / 2024,PuniDo00,5092959
Keith Randolph,DT,Illinois,College Stats,6-4,296,5.15,28.5,,105.0,,,,RandKe01,N/A
Spencer Rattler,QB,South Carolina,College Stats,6-0,211,4.95,32.0,,108.0,7.21,4.37,New Orleans Saints / 5th / 150th pick / 2024,RattSp00,4426339
Andrew Raym,C,Oklahoma,College Stats,6-4,314,5.42,24.5,,95.0,,,,RaymAn00,N/A
Austin Reed,QB,Western Kentucky,College Stats,6-2,220,4.82,,,,,,,ReedAu00,N/A
Ryan Rehkow,P,BYU,College Stats,6-4,235,,,,,,,,RehkRy00,4608820
Will Reichard,K,Alabama,College Stats,6-1,187,,,,,,,Minnesota Vikings / 6th / 203rd pick / 2024,ReicWi00,4567104
Tip Reiman,TE,Illinois,College Stats,6-5,271,4.64,33.5,28.0,121.0,7.02,4.26,Arizona Cardinals / 3rd / 82nd pick / 2024,ReimTi00,4696700
Brenden Rice,WR,USC,College Stats,6-2,208,4.5,36.5,13.0,119.0,,,Los Angeles Chargers / 7th / 225th pick / 2024,RiceBr00,N/A
Decamerion Richardson,CB,Mississippi St.,College Stats,6-2,188,4.34,35.0,,128.0,,,Las Vegas Raiders / 4th / 112th pick / 2024,RichDe01,4605498
Demani Richardson,SAF,Texas A&M,College Stats,6-1,210,4.6,31.0,,116.0,,,,RichDe02,4426926
Chop Robinson,EDGE,Penn St.,,6-3,254,4.48,34.5,,128.0,,4.25,,-9999,4431586
Darius Robinson,DE,Missouri,College Stats,6-5,285,4.95,35.0,21.0,111.0,,,Arizona Cardinals / 1st / 27th pick / 2024,RobiDa01,4569480
Keilan Robinson,RB,Texas,College Stats,5-8,191,4.42,33.0,,125.0,,,Jacksonville Jaguars / 5th / 167th pick / 2024,RobiKe03,4567095
Layden Robinson,G,Texas A&M,College Stats,6-4,302,,26.5,,111.0,,,New England Patriots / 4th / 103rd pick / 2024,RobiLa02,N/A
Tayvion Robinson,WR,Kentucky,College Stats,5-11,191,,,,,,,,RobiTa01,N/A
Justin Rogers,DT,Auburn,College Stats,6-3,330,,24.5,21.0,99.0,,4.87,Dallas Cowboys / 7th / 244th pick / 2024,RogeJu01,N/A
Christian Roland-Wallace,CB,USC,College Stats,6-0,201,,,17.0,,,,,RolaCh00,N/A
Marcus Rosemy-Jacksaint,WR,Georgia,College Stats,6-1,195,,35.0,,119.0,,,,RoseMa00,N/A
Roger Rosengarten,OT,Washington,College Stats,6-5,308,4.92,30.0,,113.0,,4.6,Baltimore Ravens / 2nd / 62nd pick / 2024,RoseRo01,4430876
Walter Rouse,OT,Oklahoma,College Stats,6-6,313,,,,,,,Minnesota Vikings / 6th / 177th pick / 2024,RousWa00,N/A
Mike Sainristil,CB,Michigan,College Stats,5-9,182,4.47,40.0,14.0,131.0,6.99,4.01,Washington Commanders / 2nd / 50th pick / 2024,SainMi00,4428414
Andre' Sam,SAF,LSU,,5-11,191,4.59,36.0,,123.0,,,,-9999,4250510
Nick Samac,C,Michigan St.,College Stats,6-4,307,,,,,,,Baltimore Ravens / 7th / 228th pick / 2024,SamaNi00,N/A
Ja'Tavion Sanders,TE,Texas,College Stats,6-4,245,4.69,,,,,4.32,Carolina Panthers / 4th / 101st pick / 2024,SandJa01,4431588
Cody Schrader,RB,Missouri,College Stats,5-9,202,4.61,33.0,,,,,,SchrCo00,4391845
Will Shipley,RB,Clemson,College Stats,5-11,206,,,,,,,Philadelphia Eagles / 4th / 127th pick / 2024,ShipWi00,4431545
Jaden Shirden,RB,Monmouth,,5-8,187,4.45,34.5,,117.0,,,,-9999,N/A
Jaylin Simpson,SAF,Auburn,College Stats,6-0,179,4.45,39.5,,133.0,,,Indianapolis Colts / 5th / 164th pick / 2024,SimpJa00,4567225
Ben Sinnott,TE,Kansas St.,College Stats,6-4,250,4.68,40.0,,126.0,6.82,4.23,Washington Commanders / 2nd / 53rd pick / 2024,SinnBe00,4690923
Kedon Slovis,QB,BYU,College Stats,6-3,223,4.55,30.0,,118.0,,,,SlovKe00,4428512
Ainias Smith,WR,Texas A&M,College Stats,5-9,190,,,21.0,,,,Philadelphia Eagles / 5th / 152nd pick / 2024,SmitAi00,4428532
Maason Smith,DT,LSU,College Stats,6-5,306,5.01,31.0,,108.0,7.62,4.69,Jacksonville Jaguars / 2nd / 48th pick / 2024,SmitMa07,4431567
Tykee Smith,SAF,Georgia,College Stats,5-10,202,4.46,36.0,,120.0,,,Tampa Bay Buccaneers / 3rd / 89th pick / 2024,SmitTy05,4428522
Chau Smith-Wade,CB,Washington St.,College Stats,5-10,184,4.54,34.5,18.0,125.0,7.05,4.32,Carolina Panthers / 5th / 157th pick / 2024,SmitCh05,4697636
Javon Solomon,EDGE,Troy,College Stats,6-1,246,4.72,37.0,23.0,119.0,,,Buffalo Bills / 5th / 168th pick / 2024,SoloJa00,4428548
Brevyn Spann-Ford,TE,Minnesota,College Stats,6-7,260,4.77,31.5,,116.0,7.38,,,SpanBr00,4360967
Fabien Lovett Sr.,DT,Florida St.,,6-4,314,,,,,,,,-9999,N/A
Tarheeb Still,CB,Maryland,College Stats,6-0,189,4.52,38.0,,120.0,,,Los Angeles Chargers / 5th / 137th pick / 2024,StilTa00,4432571
Cade Stover,TE,Ohio St.,College Stats,6-4,247,4.65,34.5,,117.0,,4.45,Houston Texans / 4th / 123rd pick / 2024,StovCa00,4426496
Kingsley Suamataia,OT,BYU,College Stats,6-5,326,5.04,28.0,,110.0,,,Kansas City Chiefs / 2nd / 63rd pick / 2024,SuamKi00,N/A
Jalen Sundell,C,North Dakota St.,,6-5,301,,,,,,,,-9999,N/A
T'Vondre Sweat,DT,Texas,College Stats,6-5,366,5.27,26.0,,98.0,,,Tennessee Titans / 2nd / 38th pick / 2024,SweaTV01,4428617
Marques Tampa,CB,Iowa St.,,6-1,189,,,,,,,,-9999,N/A
Leonard Taylor,DT,Miami,College Stats,6-4,303,5.12,30.0,,109.0,7.81,,,TaylLe02,4431598
Tory Taylor,P,Iowa,College Stats,6-4,223,,,,,,,Chicago Bears / 4th / 122nd pick / 2024,TaylTo01,4686889
Dadrion Taylor-Demerson,SAF,Texas Tech,College Stats,5-10,197,4.41,38.0,,123.0,,,Arizona Cardinals / 4th / 104th pick / 2024,TaylDa02,4428633
Nathan Thomas,OT,Louisiana,,6-5,332,5.19,25.0,,107.0,8.01,,,-9999,N/A
Brian Thomas,WR,LSU,College Stats,6-3,209,4.33,38.5,11.0,126.0,,,Jacksonville Jaguars / 1st / 23rd pick / 2024,ThomBr06,4432773
Xavier Thomas,EDGE,Clemson,College Stats,6-2,244,4.62,32.5,26.0,120.0,,,Arizona Cardinals / 5th / 138th pick / 2024,ThomXa01,4360304
Jamari Thrash,WR,Louisville,College Stats,6-0,188,4.46,34.0,,120.0,7.16,,Cleveland Browns / 5th / 156th pick / 2024,ThraJa01,4428678
Ro Torrence,CB,Arizona St.,College Stats,6-3,208,,,,,,,,TorrRo00,N/A
Jordan Travis,QB,Florida St.,College Stats,6-1,200,,,,,,,New York Jets / 5th / 171st pick / 2024,TravJo00,N/A
Bralen Trice,EDGE,Washington,College Stats,6-4,245,4.72,,,,,,Atlanta Falcons / 3rd / 74th pick / 2024,TricBr00,N/A
Zion Tupuola-Fetui,EDGE,Washington,College Stats,6-3,244,,,,,,,,TupuZi00,N/A
Charles Turner,C,LSU,College Stats,6-4,303,,31.0,,109.0,7.88,4.62,,TurnCh00,N/A
Dallas Turner,EDGE,Alabama,College Stats,6-3,247,4.46,40.5,,127.0,,,Minnesota Vikings / 1st / 17th pick / 2024,TurnDa01,4565190
David Ugwoegbu,EDGE,Houston,College Stats,6-4,250,,31.5,21.0,,,,,UgwoDa00,N/A
Edefuan Ulofoshio,LB,Washington,College Stats,6-1,236,4.56,39.5,,128.0,,,Buffalo Bills / 5th / 160th pick / 2024,UlofEd00,4374280
Sione Vaki,SAF,Utah,College Stats,5-11,210,4.62,39.5,20.0,125.0,,,Detroit Lions / 4th / 132nd pick / 2024,VakiSi00,4912274
Devaughn Vele,WR,Utah,College Stats,6-4,203,4.47,36.0,,126.0,,,Denver Broncos / 7th / 235th pick / 2024,VeleDe00,4569559
Jared Verse,EDGE,Florida St.,College Stats,6-4,254,4.58,35.0,31.0,127.0,7.31,4.44,Los Angeles Rams / 1st / 19th pick / 2024,VersJa00,4578085
Kimani Vidal,RB,Troy,College Stats,5-8,213,4.46,37.5,18.0,120.0,7.01,4.15,Los Angeles Chargers / 6th / 181st pick / 2024,VidaKi00,4430968
Devontez Walker,WR,North Carolina,College Stats,6-2,193,4.36,40.5,,134.0,,,Baltimore Ravens / 4th / 113th pick / 2024,WalkDe01,4696882
Caedan Wallace,OT,Penn St.,College Stats,6-5,314,5.15,31.0,,116.0,,,New England Patriots / 3rd / 68th pick / 2024,WallCa00,N/A
Josh Wallace,CB,Michigan,College Stats,5-11,185,,34.5,13.0,120.0,,4.35,,WallJo00,4572371
Trevin Wallace,LB,Kentucky,College Stats,6-1,237,4.51,37.5,,127.0,,,Carolina Panthers / 3rd / 72nd pick / 2024,WallTr00,4683815
Tahj Washington,WR,USC,College Stats,5-10,174,,35.0,,122.0,,,,-9999,4567506
Malik Washington,WR,Virginia,College Stats,5-9,191,4.47,42.5,19.0,126.0,,,Miami Dolphins / 6th / 184th pick / 2024,WashMa00,4569603
Nathaniel Watson,LB,Mississippi St.,College Stats,6-2,233,4.63,31.0,,111.0,,,Cleveland Browns / 6th / 206th pick / 2024,WatsNa00,4362895
Eric Watts,DE,Connecticut,College Stats,6-6,274,4.67,36.5,21.0,117.0,7.59,4.73,,WattEr00,4569016
Ryan Watts,CB,Texas,College Stats,6-3,208,4.53,40.5,,125.0,6.82,4.13,Pittsburgh Steelers / 6th / 195th pick / 2024,WattRy00,N/A
Xavier Weaver,WR,Colorado,College Stats,6-0,169,,,,,,,,WeavXa00,4428811
Jack Westover,TE,Washington,College Stats,6-3,243,,,,,,,,WestJa01,4361100
Jordan Whittington,WR,Texas,College Stats,6-1,205,,,18.0,,,,Los Angeles Rams / 6th / 213th pick / 2024,WhitJo04,4569382
