Player,Pos,year,sportsref_predicted_url
Antoine Brooks Jr.,S,2020,https://www.sports-reference.com/cfb/players/antoine-brooks-jr-1.html
Antoine Winfield Jr.,S,2020,https://www.sports-reference.com/cfb/players/antoine-winfield-jr-1.html
Ashtyn Davis,S,2020,https://www.sports-reference.com/cfb/players/ashtyn-davis-1.html
BoPete Keyes,CB,2020,https://www.sports-reference.com/cfb/players/bopete-keyes-1.html
Brandon Jones,S,2020,https://www.sports-reference.com/cfb/players/brandon-jones-1.html
Bryce Hall,CB,2020,https://www.sports-reference.com/cfb/players/bryce-hall-1.html
C.J. Henderson,CB,2020,https://www.sports-reference.com/cfb/players/cj-henderson-1.html
Cameron Dantzler,CB,2020,https://www.sports-reference.com/cfb/players/cameron-dantzler-1.html
Damon Arnette,CB,2020,https://www.sports-reference.com/cfb/players/damon-arnette-1.html
Dane Jackson,CB,2020,https://www.sports-reference.com/cfb/players/dane-jackson-1.html
Daniel Thomas,S,2020,https://www.sports-reference.com/cfb/players/daniel-thomas-1.html
Darnay Holmes,CB,2020,https://www.sports-reference.com/cfb/players/darnay-holmes-1.html
Geno Stone,S,2020,https://www.sports-reference.com/cfb/players/geno-stone-1.html
Grant Delpit,S,2020,https://www.sports-reference.com/cfb/players/grant-delpit-1.html
Harrison Hand,CB,2020,https://www.sports-reference.com/cfb/players/harrison-hand-1.html
Jaylinn Hawkins,S,2020,https://www.sports-reference.com/cfb/players/jaylinn-hawkins-1.html
Jaylon Johnson,CB,2020,https://www.sports-reference.com/cfb/players/jaylon-johnson-1.html
Jeff Gladney,CB,2020,https://www.sports-reference.com/cfb/players/jeff-gladney-1.html
Jeff Okudah,CB,2020,https://www.sports-reference.com/cfb/players/jeff-okudah-1.html
John Reid,CB,2020,https://www.sports-reference.com/cfb/players/john-reid-1.html
Jordan Fuller,S,2020,https://www.sports-reference.com/cfb/players/jordan-fuller-1.html
Josh Metellus,S,2020,https://www.sports-reference.com/cfb/players/josh-metellus-1.html
Josiah Scott,CB,2020,https://www.sports-reference.com/cfb/players/josiah-scott-1.html
Julian Blackmon,S,2020,https://www.sports-reference.com/cfb/players/julian-blackmon-1.html
K'Von Wallace,S,2020,https://www.sports-reference.com/cfb/players/kvon-wallace-1.html
Kindle Vildor,CB,2020,https://www.sports-reference.com/cfb/players/kindle-vildor-1.html
Kristian Fulton,CB,2020,https://www.sports-reference.com/cfb/players/kristian-fulton-1.html
L'Jarius Sneed,S,2020,https://www.sports-reference.com/cfb/players/ljarius-sneed-1.html
Michael Ojemudia,CB,2020,https://www.sports-reference.com/cfb/players/michael-ojemudia-1.html
Noah Igbinoghene,CB,2020,https://www.sports-reference.com/cfb/players/noah-igbinoghene-1.html
Reggie Robinson II,CB,2020,https://www.sports-reference.com/cfb/players/reggie-robinson-ii-1.html
Stantley Thomas-Oliver,CB,2020,https://www.sports-reference.com/cfb/players/stantley-thomas-oliver-1.html
Tanner Muse,S,2020,https://www.sports-reference.com/cfb/players/tanner-muse-1.html
Terrell Burgess,S,2020,https://www.sports-reference.com/cfb/players/terrell-burgess-1.html
Trevon Diggs,CB,2020,https://www.sports-reference.com/cfb/players/trevon-diggs-1.html
Troy Pride,CB,2020,https://www.sports-reference.com/cfb/players/troy-pride-1.html
Xavier McKinney,S,2020,https://www.sports-reference.com/cfb/players/xavier-mckinney-1.html
Aaron Robinson,DB,2021,https://www.sports-reference.com/cfb/players/aaron-robinson-1.html
Ambry Thomas,DB,2021,https://www.sports-reference.com/cfb/players/ambry-thomas-1.html
Andre Cisco,DB,2021,https://www.sports-reference.com/cfb/players/andre-cisco-1.html
Avery Williams,CB,2021,https://www.sports-reference.com/cfb/players/avery-williams-1.html
Benjamin St-Juste,DB,2021,https://www.sports-reference.com/cfb/players/benjamin-st-juste-1.html
Brady Breeze,S,2021,https://www.sports-reference.com/cfb/players/brady-breeze-1.html
Caden Sterns,DB,2021,https://www.sports-reference.com/cfb/players/caden-sterns-1.html
Damar Hamlin,DB,2021,https://www.sports-reference.com/cfb/players/damar-hamlin-1.html
Darren Hall,CB,2021,https://www.sports-reference.com/cfb/players/darren-hall-1.html
Darrick Forrest,S,2021,https://www.sports-reference.com/cfb/players/darrick-forrest-1.html
Deommodore Lenoir,CB,2021,https://www.sports-reference.com/cfb/players/deommodore-lenoir-1.html
Divine Deablo,DB,2021,https://www.sports-reference.com/cfb/players/divine-deablo-1.html
Elijah Molden,DB,2021,https://www.sports-reference.com/cfb/players/elijah-molden-1.html
Eric Stokes,DB,2021,https://www.sports-reference.com/cfb/players/eric-stokes-1.html
Greg Newsome,DB,2021,https://www.sports-reference.com/cfb/players/greg-newsome-1.html
Hamsah Nasirildeen,DB,2021,https://www.sports-reference.com/cfb/players/hamsah-nasirildeen-1.html
Ifeatu Melifonwu,DB,2021,https://www.sports-reference.com/cfb/players/ifeatu-melifonwu-1.html
Israel Mukuamu,DB,2021,https://www.sports-reference.com/cfb/players/israel-mukuamu-1.html
Jacoby Stevens,S,2021,https://www.sports-reference.com/cfb/players/jacoby-stevens-1.html
