assisted_tackles,awards,class,combined_tackles,conference,final_season_year,forced_fumbles,fumble_recoveries,fumble_recovery_tds,fumble_recovery_yards,games,interception_tds,interception_yards,interceptions,page_url,passes_defended,player,pos,sacks,school,solo_tackles,source_type,tfl
16,,SR,60,Big Ten,2008,1,0,0,0,13,0,5,3,https://www.sports-reference.com/cfb/players/bradley-fletcher-1.html,0,Bradley Fletcher,DB,0.0,Iowa,44,season_totals,0.5
14,,JR,68,Big Ten,2013,0,0,0,0,12,1,120,3,https://www.sports-reference.com/cfb/players/bradley-roby-1.html,13,Bradley Roby,DB/CB,0.0,Ohio State,54,season_totals,2.0
19,,JR,62,Pac-12,2019,1,4,2,45,14,1,32,2,https://www.sports-reference.com/cfb/players/brady-breeze-1.html,3,Brady Breeze,DB/S,0.0,Oregon,43,season_totals,0.0
28,,SR,58,SEC,2024,2,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/bradyn-swinson-1.html,3,Bradyn Swinson,DE,8.5,LSU,30,season_totals,13.0
20,,SR,55,SEC,2011,2,0,0,0,14,0,-1,3,https://www.sports-reference.com/cfb/players/brandon-boykin-1.html,0,Brandon Boykin,DB,0.0,Georgia,35,season_totals,11.0
17,,JR,51,MWC,2010,1,0,0,0,13,0,69,2,https://www.sports-reference.com/cfb/players/brandon-burton-1.html,0,Brandon Burton,DB,0.0,Utah,34,season_totals,1.0
13,,SR,23,SEC,2009,0,0,0,0,14,0,0,0,https://www.sports-reference.com/cfb/players/brandon-deaderick-1.html,0,Brandon Deaderick,DL,1.0,Alabama,10,season_totals,4.5
11,,SR,25,Pac-12,2023,0,1,0,0,14,0,0,0,https://www.sports-reference.com/cfb/players/brandon-dorlus-1.html,9,Brandon Dorlus,DT/DE,5.0,Oregon,14,season_totals,6.5
30,,JR,86,ACC,2007,0,0,0,0,14,1,93,5,https://www.sports-reference.com/cfb/players/brandon-flowers-1.html,0,Brandon Flowers,DB,0.0,Virginia Tech,56,season_totals,8.0
21,,SR,56,ACC,2009,0,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/brandon-ghee-1.html,8,Brandon Ghee,DB,0.0,Wake Forest,35,season_totals,2.5
22,,SR,64,Big Ten,2009,2,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/brandon-graham-1.html,0,Brandon Graham,LB/DL,10.5,Michigan,42,season_totals,26.0
1,,SR,1,Big Ten,2012,0,0,0,0,9,0,0,0,https://www.sports-reference.com/cfb/players/brandon-green-1.html,0,Brandon Green,WR,0.0,Minnesota,0,season_totals,0.0
15,,JR,45,ACC,2010,2,0,0,0,13,0,0,1,https://www.sports-reference.com/cfb/players/brandon-harris-1.html,0,Brandon Harris,DB,0.0,Miami (FL),30,season_totals,2.0
27,,SR,69,Big Ten,2008,1,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/brandon-harrison-1.html,0,Brandon Harrison,DB,3.0,Michigan,42,season_totals,7.0
12,,SR,37,Big East,2010,1,0,0,0,11,0,78,3,https://www.sports-reference.com/cfb/players/brandon-hogan-1.html,0,Brandon Hogan,WR/DB,0.0,West Virginia,25,season_totals,0.0
14,,SR,35,Pac-10,2008,0,0,0,0,11,0,0,1,https://www.sports-reference.com/cfb/players/brandon-hughes-1.html,0,Brandon Hughes,DB,0.0,Oregon State,21,season_totals,2.5
7,,SR,12,SEC,2007,0,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/brandon-jenkins-1.html,0,Brandon Jenkins,DL,0.0,Ole Miss,5,season_totals,1.0
28,,SR,73,Big East,2005,1,0,0,0,12,1,25,2,https://www.sports-reference.com/cfb/players/brandon-johnson-1.html,0,Brandon Johnson,LB,2.0,Louisville,45,season_totals,8.5
3,,FR,9,Pac-10,2007,0,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/brandon-jones-1.html,0,Brandon Jones,DB,0.0,California,6,season_totals,0.0
1,,SR,1,CUSA,2005,0,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/brandon-marshall-1.html,0,Brandon Marshall,WR,0.0,UCF,0,season_totals,0.0
39,,SR,84,CUSA,2006,1,0,0,0,12,0,83,4,https://www.sports-reference.com/cfb/players/brandon-mcdonald-1.html,0,Brandon McDonald,DB,0.0,Memphis,45,season_totals,2.0
17,,SR,54,ACC,2012,0,0,0,0,12,0,26,2,https://www.sports-reference.com/cfb/players/brandon-mcgee-1.html,0,Brandon McGee,DB,1.0,Miami (FL),37,season_totals,4.0
29,,SR,52,Pac-10,2006,1,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/brandon-mebane-1.html,0,Brandon Mebane,DL,4.0,California,23,season_totals,10.0
21,,SR,58,ACC,2006,0,0,0,0,12,0,6,1,https://www.sports-reference.com/cfb/players/brandon-meriweather-1.html,0,Brandon Meriweather,DB,1.0,Miami (FL),37,season_totals,5.0
24,,JR,77,SEC,2006,1,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/brandon-siler-1.html,3,Brandon Siler,LB,3.0,Florida,53,season_totals,10.0
32,AA,SR,68,SEC,2009,1,0,0,0,12,2,46,2,https://www.sports-reference.com/cfb/players/brandon-spikes-1.html,0,Brandon Spikes,LB,3.0,Florida,36,season_totals,6.5
32,,SR,71,SEC,2011,0,0,0,0,14,0,26,2,https://www.sports-reference.com/cfb/players/brandon-taylor-1.html,5,Brandon Taylor,DB,1.0,LSU,39,season_totals,7.5
21,,SR,40,Ind,2007,2,0,0,0,12,0,4,1,https://www.sports-reference.com/cfb/players/brandon-thompson-1.html,0,Brandon Thompson,DL,0.5,Army,19,season_totals,4.5
24,,SR,66,Big East,2008,2,0,0,0,14,1,60,4,https://www.sports-reference.com/cfb/players/brandon-underwood-1.html,0,Brandon Underwood,DB,1.0,Cincinnati,42,season_totals,4.5
12,,SR,31,WAC,2010,1,0,0,0,13,0,20,3,https://www.sports-reference.com/cfb/players/brandyn-thompson-1.html,0,Brandyn Thompson,DB,0.0,Boise State,19,season_totals,2.0
40,,JR,67,SEC,2017,1,1,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/breeland-speaks-1.html,1,Breeland Speaks,DT,7.0,Ole Miss,27,season_totals,8.0
31,,SR,57,Pac-12,2023,1,4,3,116,12,0,0,0,https://www.sports-reference.com/cfb/players/brennan-jackson-1.html,3,Brennan Jackson,DL/DE,8.5,Washington State,26,season_totals,12.5
27,,SR,40,ACC,2013,0,1,0,0,8,0,0,0,https://www.sports-reference.com/cfb/players/brent-urban-1.html,9,Brent Urban,DL/DT,1.0,Virginia,13,season_totals,11.0
32,,JR,90,SEC,2022,0,0,0,0,13,0,2,2,https://www.sports-reference.com/cfb/players/brian-branch-1.html,7,Brian Branch,DB,3.0,Alabama,58,season_totals,14.0
0,,JR,4,American,2013,0,0,0,0,3,0,0,0,https://www.sports-reference.com/cfb/players/brian-burns-1.html,0,Brian Burns,DB,0.0,Temple,4,season_totals,0.0
26,,SR,73,Pac-10,2008,1,0,0,0,13,0,0,1,https://www.sports-reference.com/cfb/players/brian-cushing-1.html,0,Brian Cushing,LB,3.0,USC,47,season_totals,10.5
8,"Nagurski,AA",SR,40,Big 12,2008,4,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/brian-orakpo-1.html,2,Brian Orakpo,DL,11.5,Texas,32,season_totals,17.5
7,,JR,48,Pac-10,2009,2,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/brian-price-1.html,1,Brian Price,DL,7.0,UCLA,41,season_totals,23.5
4,,SR,19,Big 12,2006,0,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/brian-robison-1.html,3,Brian Robison,DL,5.0,Texas,15,season_totals,7.5
41,,SR,76,Big Ten,2010,1,0,0,0,13,1,30,2,https://www.sports-reference.com/cfb/players/brian-rolle-1.html,0,Brian Rolle,LB,2.5,Ohio State,35,season_totals,11.5
18,,SR,59,Big Ten,2013,1,0,0,0,13,0,0,1,https://www.sports-reference.com/cfb/players/brock-vereen-1.html,6,Brock Vereen,DB,0.0,Minnesota,41,season_totals,2.5
15,,SR,39,Big 12,2019,0,1,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/broderick-washington-1.html,2,Broderick Washington,DL,2.5,Texas Tech,24,season_totals,5.5
27,,SR,66,ACC,2005,0,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/brodrick-bunkley-1.html,0,Brodrick Bunkley,DL,9.0,Florida State,39,season_totals,25.0
19,,SR,64,Ind,2015,3,1,0,0,13,0,10,1,https://www.sports-reference.com/cfb/players/bronson-kaufusi-1.html,2,Bronson Kaufusi,DL/LB,11.0,BYU,45,season_totals,20.0
21,,SR,47,Pac-10,2010,1,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/brooks-reed-1.html,2,Brooks Reed,DL,6.5,Arizona,26,season_totals,10.0
22,,SR,57,ACC,2010,1,0,0,0,11,0,55,1,https://www.sports-reference.com/cfb/players/bruce-carter-1.html,0,Bruce Carter,LB,2.5,North Carolina,35,season_totals,3.5
12,,SR,45,Pac-10,2007,2,1,0,12,13,0,0,0,https://www.sports-reference.com/cfb/players/bruce-davis-1.html,9,Bruce Davis,LB/DL,12.0,UCLA,33,season_totals,15.5
13,,SR,40,Big East,2011,3,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/bruce-irvin-1.html,0,Bruce Irvin,DL,8.5,West Virginia,27,season_totals,15.0
22,,SR,63,CUSA,2010,2,0,0,0,14,2,45,2,https://www.sports-reference.com/cfb/players/bruce-miller-1.html,0,Bruce Miller,LB/DL,8.5,UCF,41,season_totals,13.5
6,,SO,15,ACC,2022,0,0,0,0,10,0,0,0,https://www.sports-reference.com/cfb/players/bryan-bresee-1.html,2,Bryan Bresee,DL/DT,3.5,Clemson,9,season_totals,5.5
39,,SR,91,MWC,2007,1,0,0,0,13,1,75,3,https://www.sports-reference.com/cfb/players/bryan-kehl-1.html,0,Bryan Kehl,LB,3.5,BYU,52,season_totals,11.5
