assisted_tackles,awards,class,combined_tackles,conference,expected_draft_year,expected_draft_year_source,final_season_year,forced_fumbles,fumble_recoveries,fumble_recovery_tds,fumble_recovery_yards,games,interception_tds,interception_yards,interceptions,page_url,passes_defended,player,pos,sacks,school,scraped_at,solo_tackles,source_type,tfl
,,SR,,Big Ten,2003,currentPlayer,2002,,,,,14,1,67,5,https://www.sports-reference.com/cfb/players/bj-tucker-1.html,,B.J. Tucker,DB,,Wisconsin,2026-04-02T07:09:42.425Z,,season_totals,
,AA,SR,,Ind,2003,currentPlayer,2002,,,,,13,2,84,7,https://www.sports-reference.com/cfb/players/shane-walton-1.html,,Shane Walton,DB,,Notre Dame,2026-04-02T07:09:47.371Z,,season_totals,
,,SR,,Big Ten,2003,currentPlayer,2002,,,,,12,0,0,1,https://www.sports-reference.com/cfb/players/eugene-wilson-1.html,,Eugene Wilson,DB,,Illinois,2026-04-02T07:09:52.480Z,,season_totals,
,,SR,,Big 12,2003,currentPlayer,2002,,,,,13,0,0,2,https://www.sports-reference.com/cfb/players/andre-woolfolk-1.html,,Andre Woolfolk,WR/DB,,Oklahoma,2026-04-02T07:09:57.440Z,,season_totals,
,AA,SR,,Big Ten,2004,currentPlayer,2003,,,,,13,1,107,2,https://www.sports-reference.com/cfb/players/will-allen-1.html,,Will Allen,DB,,Ohio State,2026-04-02T07:10:02.280Z,,season_totals,
,,SR,,CUSA,2004,currentPlayer,2003,,,,,11,0,24,3,https://www.sports-reference.com/cfb/players/greg-brooks-1.html,,Greg Brooks,DB,,Southern Mississippi,2026-04-02T07:10:07.577Z,,season_totals,
,,JR,,SEC,2004,currentPlayer,2003,,,,,13,0,0,3,https://www.sports-reference.com/cfb/players/ahmad-carroll-1.html,,Ahmad Carroll,DB,,Arkansas,2026-04-02T07:10:12.451Z,,season_totals,
,,SR,,Pac-10,2004,currentPlayer,2003,,,,,13,0,22,7,https://www.sports-reference.com/cfb/players/erik-coleman-1.html,,Erik Coleman,DB,,Washington State,2026-04-02T07:10:25.174Z,,season_totals,
,,SR,,Ind,2004,currentPlayer,2003,,,,,12,0,0,1,https://www.sports-reference.com/cfb/players/glenn-earl-1.html,,Glenn Earl,DB,,Notre Dame,2026-04-02T07:10:30.115Z,,season_totals,
,,JR,,Big Ten,2004,currentPlayer,2003,,,,,13,0,0,3,https://www.sports-reference.com/cfb/players/chris-gamble-1.html,,Chris Gamble,WR,,Ohio State,2026-04-02T07:10:35.184Z,,season_totals,
,,SR,,Big Ten,2004,currentPlayer,2003,,,,,12,0,22,1,https://www.sports-reference.com/cfb/players/rich-gardner-1.html,,Rich Gardner,DB,,Penn State,2026-04-02T07:10:40.201Z,,season_totals,
,,JR,,Big East,2004,currentPlayer,2003,,,,,13,0,0,1,https://www.sports-reference.com/cfb/players/deangelo-hall-1.html,,Deangelo Hall,DB,,Virginia Tech,2026-04-02T07:10:45.192Z,,season_totals,
,,SR,,SEC,2004,currentPlayer,2003,,,,,13,0,5,4,https://www.sports-reference.com/cfb/players/von-hutchins-1.html,,Von Hutchins,DB,,Ole Miss,2026-04-02T07:10:50.331Z,,season_totals,
,,JR,,SEC,2004,currentPlayer,2003,,,,,12,0,42,5,https://www.sports-reference.com/cfb/players/sean-jones-1.html,,Sean Jones,DB,,Georgia,2026-04-02T07:10:55.161Z,,season_totals,
,,SR,,Pac-10,2004,currentPlayer,2003,,,,,13,1,31,3,https://www.sports-reference.com/cfb/players/keith-lewis-1.html,,Keith Lewis,DB,,Oregon,2026-04-02T07:11:00.184Z,,season_totals,
,,SO,,Pac-10,2004,currentPlayer,2003,,,,,13,1,70,7,https://www.sports-reference.com/cfb/players/will-poole-1.html,,Will Poole,DB,,USC,2026-04-02T07:11:05.167Z,,season_totals,
,,SR,,CUSA,2004,currentPlayer,2003,,,,,13,0,32,3,https://www.sports-reference.com/cfb/players/etric-pruitt-1.html,,Etric Pruitt,DB,,Southern Mississippi,2026-04-02T07:11:10.232Z,,season_totals,
,AA,SR,,SEC,2004,currentPlayer,2003,,,,,13,2,182,9,https://www.sports-reference.com/cfb/players/keiwan-ratliff-1.html,,Keiwan Ratliff,DB,,Florida,2026-04-02T07:11:15.242Z,,season_totals,
,,SR,,SEC,2004,currentPlayer,2003,,,,,12,1,29,1,https://www.sports-reference.com/cfb/players/dunta-robinson-1.html,,Dunta Robinson,DB,,South Carolina,2026-04-02T07:11:32.976Z,,season_totals,
,,SR,,Big Ten,2004,currentPlayer,2003,,,,,10,0,0,1,https://www.sports-reference.com/cfb/players/bob-sanders-1.html,,Bob Sanders,DB,,Iowa,2026-04-02T07:11:38.070Z,,season_totals,
,,SR,,Big Ten,2004,currentPlayer,2003,,,,,13,0,62,4,https://www.sports-reference.com/cfb/players/stuart-schweigert-1.html,,Stuart Schweigert,WR/DB,,Purdue,2026-04-02T07:11:42.952Z,,season_totals,
,,SR,,SEC,2004,currentPlayer,2003,,,,,13,1,47,2,https://www.sports-reference.com/cfb/players/guss-scott-1.html,,Guss Scott,DB,,Florida,2026-04-02T07:11:47.885Z,,season_totals,
,,JR,,Pac-10,2004,currentPlayer,2003,,,,,11,0,85,3,https://www.sports-reference.com/cfb/players/jason-shivers-1.html,,Jason Shivers,DB,,Arizona State,2026-04-02T07:11:53.004Z,,season_totals,
,,SR,,MWC,2004,currentPlayer,2003,,,,,12,0,8,1,https://www.sports-reference.com/cfb/players/jeff-shoate-1.html,,Jeff Shoate,DB,,San Diego State,2026-04-02T07:11:57.906Z,,season_totals,
,"Nagurski,AA",SR,,Big 12,2004,currentPlayer,2003,,,,,13,0,127,3,https://www.sports-reference.com/cfb/players/derrick-strait-1.html,,Derrick Strait,DB,,Oklahoma,2026-04-02T07:12:45.053Z,,season_totals,
,AA,JR,,Big East,2004,currentPlayer,2003,,,,,12,3,184,10,https://www.sports-reference.com/cfb/players/sean-taylor-1.html,,Sean Taylor,DB,,Miami (FL),2026-04-02T07:12:50.037Z,,season_totals,
,,SR,,SEC,2004,currentPlayer,2003,,,,,14,0,4,2,https://www.sports-reference.com/cfb/players/bruce-thornton-1.html,,Bruce Thornton,RB/DB,,Georgia,2026-04-02T07:13:38.824Z,,season_totals,
,,SR,,Big 12,2004,currentPlayer,2003,,,,,13,0,12,6,https://www.sports-reference.com/cfb/players/nathan-vasher-1.html,,Nathan Vasher,DB,,Texas,2026-04-02T07:13:43.829Z,,season_totals,
,,SR,,ACC,2004,currentPlayer,2003,,,,,12,0,0,0,https://www.sports-reference.com/cfb/players/michael-waddell-1.html,,Michael Waddell,DB,,North Carolina,2026-04-02T07:13:48.753Z,,season_totals,
,,JR,,Pac-10,2004,currentPlayer,2003,,,,,10,0,12,2,https://www.sports-reference.com/cfb/players/matt-ware-1.html,,Matt Ware,DB,,UCLA,2026-04-02T07:13:53.877Z,,season_totals,
,,SR,,Big 12,2004,currentPlayer,2003,,,,,15,1,67,3,https://www.sports-reference.com/cfb/players/rashad-washington-1.html,,Rashad Washington,RB/DB,,Kansas State,2026-04-02T07:13:58.759Z,,season_totals,
,,SR,,ACC,2004,currentPlayer,2003,,,,,13,0,10,3,https://www.sports-reference.com/cfb/players/madieu-williams-1.html,,Madieu Williams,DB,,Maryland,2026-04-02T07:14:03.694Z,,season_totals,
,,SR,,SEC,2004,currentPlayer,2003,,,,,13,0,1,3,https://www.sports-reference.com/cfb/players/gibril-wilson-1.html,,Gibril Wilson,DB,,Tennessee,2026-04-02T07:14:08.795Z,,season_totals,
,,SR,,MWC,2004,currentPlayer,2003,,,,,13,0,6,1,https://www.sports-reference.com/cfb/players/dexter-wynn-1.html,,Dexter Wynn,DB,,Colorado State,2026-04-02T07:14:13.792Z,,season_totals,
,,SR,,Pac-10,2005,currentPlayer,2004,,,,,11,0,3,1,https://www.sports-reference.com/cfb/players/hamza-abdullah-1.html,,Hamza Abdullah,DB,,Washington State,2026-04-02T07:14:18.704Z,,season_totals,
,,JR,,Big 12,2005,currentPlayer,2004,,,,,11,0,38,2,https://www.sports-reference.com/cfb/players/josh-bullocks-1.html,,Josh Bullocks,QB/DB,,Nebraska,2026-04-02T07:14:23.758Z,,season_totals,
,,SR,,ACC,2005,currentPlayer,2004,,,,,12,0,3,1,https://www.sports-reference.com/cfb/players/jerome-carter-1.html,,Jerome Carter,DB,,Florida State,2026-04-02T07:14:28.785Z,,season_totals,
,,SR,,Big Ten,2005,currentPlayer,2004,,,,,10,0,62,3,https://www.sports-reference.com/cfb/players/sean-considine-1.html,,Sean Considine,DB,,Iowa,2026-04-02T07:14:49.762Z,,season_totals,
,,SR,,SEC,2005,currentPlayer,2004,,,,,12,1,1,0,https://www.sports-reference.com/cfb/players/travis-daniels-1.html,,Travis Daniels,DB,,LSU,2026-04-02T07:14:54.786Z,,season_totals,
,AA,JR,,SEC,2005,currentPlayer,2004,,,,,11,0,0,1,https://www.sports-reference.com/cfb/players/thomas-davis-1.html,,Thomas Davis,DB/LB,,Georgia,2026-04-02T07:14:59.699Z,,season_totals,
,,SR,,Pac-10,2005,currentPlayer,2004,,,,,12,0,0,1,https://www.sports-reference.com/cfb/players/ben-emanuel-1.html,,Ben Emanuel,DB,,UCLA,2026-04-02T07:15:04.718Z,,season_totals,
,,SR,,ACC,2005,currentPlayer,2004,,,,,13,0,12,3,https://www.sports-reference.com/cfb/players/vincent-fuller-1.html,,Vincent Fuller,DB,,Virginia Tech,2026-04-02T07:15:40.191Z,,season_totals,
,,SR,,ACC,2005,currentPlayer,2004,,,,,13,0,47,1,https://www.sports-reference.com/cfb/players/eric-green-1.html,,Eric Green,DB,,Virginia Tech,2026-04-02T07:15:45.428Z,,season_totals,
,,SR,,Big Ten,2005,currentPlayer,2004,,,,,11,1,84,4,https://www.sports-reference.com/cfb/players/kelvin-hayden-1.html,,Kelvin Hayden,WR/DB,,Illinois,2026-04-02T07:15:50.749Z,,season_totals,
,,,,Big 12,2005,currentPlayer,2004,,,,,12,1,117,5,https://www.sports-reference.com/cfb/players/ellis-hobbs-1.html,,Ellis Hobbs,DB,,Iowa State,2026-04-02T07:15:55.386Z,,season_totals,
,,SR,,CUSA,2005,currentPlayer,2004,,,,,12,0,0,2,https://www.sports-reference.com/cfb/players/daven-holly-1.html,,Daven Holly,WR/DB,,Cincinnati,2026-04-02T07:16:00.439Z,,season_totals,
,AA,SR,,Big Ten,2005,currentPlayer,2004,,,,,12,0,34,1,https://www.sports-reference.com/cfb/players/marlin-jackson-1.html,,Marlin Jackson,DB,,Michigan,2026-04-02T07:16:05.720Z,,season_totals,
,"Nagurski,AA",SR,,Big 12,2005,currentPlayer,2004,,,,,12,0,18,1,https://www.sports-reference.com/cfb/players/derrick-johnson-3.html,,Derrick Johnson,LB,,Texas,2026-04-02T07:16:20.633Z,,season_totals,
,,JR,,Big East,2005,currentPlayer,2004,,,,,12,0,51,3,https://www.sports-reference.com/cfb/players/adam-jones-1.html,,Adam Jones,DB,,West Virginia,2026-04-02T07:16:25.552Z,,season_totals,
,,SR,,ACC,2005,currentPlayer,2004,,,,,10,0,0,1,https://www.sports-reference.com/cfb/players/eric-king-1.html,,Eric King,DB,,Wake Forest,2026-04-02T07:16:30.425Z,,season_totals,
,,SR,,ACC,2005,currentPlayer,2004,,,,,12,0,0,1,https://www.sports-reference.com/cfb/players/bryant-mcfadden-1.html,,Bryant McFadden,DB,,Florida State,2026-04-02T07:16:35.549Z,,season_totals,
,,SR,,Big 12,2005,currentPlayer,2004,,,,,13,0,32,1,https://www.sports-reference.com/cfb/players/donte-nicholson-1.html,,Donte Nicholson,DB,,Oklahoma,2026-04-02T07:16:40.714Z,,season_totals,
,,SR,,Pac-10,2005,currentPlayer,2004,,,,,11,0,5,2,https://www.sports-reference.com/cfb/players/karl-paymah-1.html,,Karl Paymah,DB,,Washington State,2026-04-02T07:16:45.496Z,,season_totals,
,,SR,,Big 12,2005,currentPlayer,2004,,,,,12,0,0,1,https://www.sports-reference.com/cfb/players/antonio-perkins-1.html,,Antonio Perkins,DB,,Oklahoma,2026-04-02T07:16:50.662Z,,season_totals,
,,JR,,Big 12,2005,currentPlayer,2004,,,,,13,0,42,2,https://www.sports-reference.com/cfb/players/brodney-pool-1.html,,Brodney Pool,DB,,Oklahoma,2026-04-02T07:16:55.545Z,,season_totals,
,,SR,,CUSA,2005,currentPlayer,2004,,,,,12,1,56,6,https://www.sports-reference.com/cfb/players/kerry-rhodes-1.html,,Kerry Rhodes,DB,,Louisville,2026-04-02T07:17:00.737Z,,season_totals,
,AA,SR,,SEC,2005,currentPlayer,2004,,,,,13,1,53,2,https://www.sports-reference.com/cfb/players/carlos-rogers-1.html,,Carlos Rogers,DB,,Auburn,2026-04-02T07:17:05.736Z,,season_totals,
,AA,SR,,ACC,2005,currentPlayer,2004,,,,,12,0,6,1,https://www.sports-reference.com/cfb/players/antrel-rolle-1.html,,Antrel Rolle,DB,,Miami (FL),2026-04-02T07:17:10.627Z,,season_totals,
,,SR,,CUSA,2005,currentPlayer,2004,,,,,10,0,37,2,https://www.sports-reference.com/cfb/players/stanford-routt-1.html,,Stanford Routt,DB,,Houston,2026-04-02T07:17:15.646Z,,season_totals,
,,SR,,ACC,2005,currentPlayer,2004,,,,,12,0,0,1,https://www.sports-reference.com/cfb/players/gerald-sensabaugh-1.html,,Gerald Sensabaugh,DB,,North Carolina,2026-04-02T07:17:20.763Z,,season_totals,
,,SR,,Big Ten,2005,currentPlayer,2004,,,,,12,0,16,1,https://www.sports-reference.com/cfb/players/scott-starks-1.html,,Scott Starks,DB,,Wisconsin,2026-04-02T07:17:25.724Z,,season_totals,
,,SR,,MWC,2005,currentPlayer,2004,,,,,11,0,21,2,https://www.sports-reference.com/cfb/players/marviel-underwood-1.html,,Marviel Underwood,DB,,San Diego State,2026-04-02T07:17:30.850Z,,season_totals,
,,JR,,Big 12,2005,currentPlayer,2004,,,,,11,0,23,3,https://www.sports-reference.com/cfb/players/fabian-washington-1.html,,Fabian Washington,DB,,Nebraska,2026-04-02T07:17:35.595Z,,season_totals,
,,SR,,SEC,2005,currentPlayer,2004,,,,,11,0,46,2,https://www.sports-reference.com/cfb/players/corey-webster-1.html,,Corey Webster,DB,,LSU,2026-04-02T07:17:40.803Z,,season_totals,
,,SR,,Big 12,2005,currentPlayer,2004,,,,,7,0,0,0,https://www.sports-reference.com/cfb/players/darrent-williams-1.html,,Darrent Williams,DB,,Oklahoma State,2026-04-02T07:17:45.707Z,,season_totals,
,,SR,,Pac-10,2005,currentPlayer,2004,,,,,11,0,51,1,https://www.sports-reference.com/cfb/players/stanley-wilson-1.html,,Stanley Wilson,DB,,Stanford,2026-04-02T07:17:50.581Z,,season_totals,
,,SR,,Big East,2006,currentPlayer,2005,,,,,12,0,0,0,https://www.sports-reference.com/cfb/players/jason-allen-1.html,2,Jason Allen,LB/DL,,South Florida,2026-04-02T07:17:55.594Z,,season_totals,
,,SR,,Big 12,2006,currentPlayer,2005,,,,,11,0,0,0,https://www.sports-reference.com/cfb/players/willie-andrews-1.html,0,Willie Andrews,DB,,Baylor,2026-04-02T07:18:00.576Z,,season_totals,
,,JR,,Pac-10,2006,currentPlayer,2005,,,,,12,1,119,4,https://www.sports-reference.com/cfb/players/darnell-bing-1.html,0,Darnell Bing,DB,,USC,2026-04-02T07:18:15.411Z,,season_totals,
,,SR,,ACC,2006,currentPlayer,2005,,,,,12,0,0,0,https://www.sports-reference.com/cfb/players/will-blackmon-1.html,0,Will Blackmon,DB/WR,,Boston College,2026-04-02T07:18:20.631Z,,season_totals,
,AA,SR,,SEC,2006,currentPlayer,2005,,,,,13,0,0,2,https://www.sports-reference.com/cfb/players/greg-blue-1.html,0,Greg Blue,DB,,Georgia,2026-04-02T07:18:25.552Z,,season_totals,
,,SR,,Big 12,2006,currentPlayer,2005,,,,,12,0,12,1,https://www.sports-reference.com/cfb/players/daniel-bullocks-1.html,0,Daniel Bullocks,DB,,Nebraska,2026-04-02T07:18:30.374Z,,season_totals,
,,SR,,Big 12,2006,currentPlayer,2005,,,,,13,0,0,0,https://www.sports-reference.com/cfb/players/cedric-griffin-1.html,0,Cedric Griffin,DB,,Texas,2026-04-02T07:19:00.405Z,,season_totals,
,,SR,,SEC,2006,currentPlayer,2005,,,,,12,0,50,1,https://www.sports-reference.com/cfb/players/roman-harper-1.html,0,Roman Harper,DB,,Alabama,2026-04-02T07:19:05.388Z,,season_totals,
,AA,SR,,ACC,2006,currentPlayer,2005,,,,,12,0,35,3,https://www.sports-reference.com/cfb/players/tye-hill-1.html,0,Tye Hill,RB/DB,,Clemson,2026-04-02T07:19:10.567Z,,season_totals,
,,SR,,ACC,2006,currentPlayer,2005,,,,,12,1,28,2,https://www.sports-reference.com/cfb/players/marcus-hudson-1.html,0,Marcus Hudson,DB,,North Carolina State,2026-04-02T07:19:15.718Z,,season_totals,
,AA,SR,,Big 12,2006,currentPlayer,2005,,,,,13,0,11,1,https://www.sports-reference.com/cfb/players/michael-huff-1.html,0,Michael Huff,DB,,Texas,2026-04-02T07:19:20.617Z,,season_totals,
,,SR,,ACC,2006,currentPlayer,2005,,,,,12,0,36,3,https://www.sports-reference.com/cfb/players/kelly-jennings-1.html,0,Kelly Jennings,DB,,Miami (FL),2026-04-02T07:19:25.524Z,,season_totals,
,,SR,,SEC,2006,currentPlayer,2005,,,,,12,1,79,4,https://www.sports-reference.com/cfb/players/tim-jennings-1.html,0,Tim Jennings,DB,,Georgia,2026-04-02T07:19:30.534Z,,season_totals,
,,SR,,ACC,2006,currentPlayer,2005,,,,,12,0,12,4,https://www.sports-reference.com/cfb/players/dawan-landry-1.html,0,Dawan Landry,DB,,Georgia Tech,2026-04-02T07:19:45.553Z,,season_totals,
,,SR,,Big Ten,2006,currentPlayer,2005,,,,,12,0,36,4,https://www.sports-reference.com/cfb/players/calvin-lowry-1.html,0,Calvin Lowry,DB,,Penn State,2026-04-02T07:19:50.815Z,,season_totals,
,,JR,,WAC,2006,currentPlayer,2005,,,,,13,0,17,3,https://www.sports-reference.com/cfb/players/richard-marshall-1.html,0,Richard Marshall,DB,,Fresno State,2026-04-02T07:20:05.376Z,,season_totals,
,,JR,,MWC,2006,currentPlayer,2005,,,,,11,1,13,3,https://www.sports-reference.com/cfb/players/derrick-martin-1.html,0,Derrick Martin,DB,,Wyoming,2026-04-02T07:20:10.703Z,,season_totals,
,,SR,,Pac-10,2006,currentPlayer,2005,,,,,12,0,0,1,https://www.sports-reference.com/cfb/players/jarrad-page-1.html,0,Jarrad Page,DB,,UCLA,2026-04-02T07:20:15.871Z,,season_totals,
,,SR,,SEC,2006,currentPlayer,2005,,,,,12,0,0,0,https://www.sports-reference.com/cfb/players/charlie-peprah-1.html,5,Charlie Peprah,DB,,Alabama,2026-04-02T07:20:20.504Z,,season_totals,
,,JR,,Big Ten,2006,currentPlayer,2005,,,,,11,0,0,3,https://www.sports-reference.com/cfb/players/bernard-pollard-1.html,0,Bernard Pollard,DB,,Purdue,2026-04-02T07:20:47.194Z,,season_totals,
,,SR,,Big Ten,2006,currentPlayer,2005,,,,,12,0,0,1,https://www.sports-reference.com/cfb/players/nate-salley-1.html,0,Nate Salley,DB,,Ohio State,2026-04-02T07:20:52.473Z,,season_totals,
,,SO,,SEC,2006,currentPlayer,2005,,,,,12,0,16,1,https://www.sports-reference.com/cfb/players/ko-simpson-1.html,0,Ko Simpson,DB,,South Carolina,2026-04-02T07:20:57.470Z,,season_totals,
,,SR,,Big East,2006,currentPlayer,2005,,,,,11,0,73,6,https://www.sports-reference.com/cfb/players/anthony-smith-1.html,0,Anthony Smith,DB,,Syracuse,2026-04-02T07:21:02.586Z,,season_totals,
,,SR,,Big Ten,2006,currentPlayer,2005,,,,,11,0,16,2,https://www.sports-reference.com/cfb/players/eric-smith-2.html,0,Eric Smith,DB,,Michigan State,2026-04-02T07:21:12.403Z,,season_totals,
,,SR,,ACC,2006,currentPlayer,2005,,,,,13,0,34,3,https://www.sports-reference.com/cfb/players/pat-watkins-1.html,0,Pat Watkins,DB,,Florida State,2026-04-02T07:21:17.624Z,,season_totals,
,,JR,,Big Ten,2006,currentPlayer,2005,,,,,12,1,26,2,https://www.sports-reference.com/cfb/players/donte-whitner-1.html,0,Donte Whitner,DB,,Ohio State,2026-04-02T07:21:32.548Z,,season_totals,
,AA,SR,,ACC,2006,currentPlayer,2005,,,,,13,0,0,1,https://www.sports-reference.com/cfb/players/jimmy-williams-2.html,0,Jimmy Williams,DB,,Virginia Tech,2026-04-02T07:21:42.558Z,,season_totals,
,,JR,,Big Ten,2006,currentPlayer,2005,,,,,12,0,-6,1,https://www.sports-reference.com/cfb/players/ashton-youboty-1.html,0,Ashton Youboty,DB,,Ohio State,2026-04-02T07:21:47.569Z,,season_totals,
,,SR,,WAC,2007,currentPlayer,2006,,,,,13,0,25,2,https://www.sports-reference.com/cfb/players/gerald-alexander-1.html,0,Gerald Alexander,DB,,Boise State,2026-04-02T07:21:52.762Z,,season_totals,
,,SR,,SEC,2007,currentPlayer,2006,,,,,13,0,28,2,https://www.sports-reference.com/cfb/players/fred-bennett-1.html,0,Fred Bennett,DB,,South Carolina,2026-04-02T07:21:58.200Z,,season_totals,
,,SR,,Big 12,2007,currentPlayer,2006,,,,,11,0,0,0,https://www.sports-reference.com/cfb/players/tarell-brown-1.html,0,Tarell Brown,DB,,Texas,2026-04-02T07:22:03.034Z,,season_totals,
,,SR,,Pac-10,2007,currentPlayer,2006,,,,,12,1,50,5,https://www.sports-reference.com/cfb/players/eric-frampton-1.html,0,Eric Frampton,DB,,Washington State,2026-04-02T07:22:27.540Z,,season_totals,
,,SR,,ACC,2007,currentPlayer,2006,,,,,14,0,0,5,https://www.sports-reference.com/cfb/players/josh-gattis-1.html,0,Josh Gattis,DB,,Wake Forest,2026-04-02T07:22:32.904Z,,season_totals,
,,SR,,Pac-10,2007,currentPlayer,2006,,,,,11,0,6,1,https://www.sports-reference.com/cfb/players/dashon-goldson-1.html,0,Dashon Goldson,DB,,Washington,2026-04-02T07:22:37.685Z,,season_totals,
,,SR,,Big 12,2007,currentPlayer,2006,,,,,13,0,41,4,https://www.sports-reference.com/cfb/players/michael-griffin-1.html,0,Michael Griffin,DB,,Texas,2026-04-02T07:22:52.513Z,,season_totals,
,AA,SR,,Big Ten,2007,currentPlayer,2006,,,,,13,0,10,3,https://www.sports-reference.com/cfb/players/leon-hall-1.html,0,Leon Hall,DB,,Michigan,2026-04-02T07:22:57.570Z,,season_totals,
,,SR,,Pac-10,2007,currentPlayer,2006,,,,,12,0,15,1,https://www.sports-reference.com/cfb/players/brandon-harrison-2.html,0,Brandon Harrison,DB,,Stanford,2026-04-02T07:23:07.665Z,,season_totals,
,,JR,,SEC,2007,currentPlayer,2006,,,,,14,1,129,3,https://www.sports-reference.com/cfb/players/chris-houston-1.html,0,Chris Houston,DB,,Arkansas,2026-04-02T07:23:12.429Z,,season_totals,
,,SR,,SEC,2007,currentPlayer,2006,,,,,13,0,0,2,https://www.sports-reference.com/cfb/players/david-irons-1.html,0,David Irons,DB,,Auburn,2026-04-02T07:23:27.708Z,,season_totals,
,,SR,,Big East,2007,currentPlayer,2006,,,,,12,0,39,2,https://www.sports-reference.com/cfb/players/tanard-jackson-1.html,0,Tanard Jackson,DB,,Syracuse,2026-04-02T07:23:32.525Z,,season_totals,
,AA,SR,,SEC,2007,currentPlayer,2006,,,,,13,0,58,3,https://www.sports-reference.com/cfb/players/laron-landry-1.html,0,Laron Landry,DB,,LSU,2026-04-02T07:23:47.623Z,,season_totals,
,,SR,,SEC,2007,currentPlayer,2006,,,,,12,0,0,0,https://www.sports-reference.com/cfb/players/trumaine-mcbride-1.html,9,Trumaine McBride,DB,,Ole Miss,2026-04-02T07:23:52.342Z,,season_totals,
,,SR,,WAC,2007,currentPlayer,2006,,,,,12,0,0,0,https://www.sports-reference.com/cfb/players/marcus-mccauley-1.html,0,Marcus McCauley,DB,,Fresno State,2026-04-02T07:23:57.818Z,,season_totals,
,,SR,,CUSA,2007,currentPlayer,2006,,,,,12,0,83,4,https://www.sports-reference.com/cfb/players/brandon-mcdonald-1.html,0,Brandon McDonald,DB,,Memphis,2026-04-02T07:24:02.400Z,,season_totals,
,,SR,,ACC,2007,currentPlayer,2006,,,,,12,0,6,1,https://www.sports-reference.com/cfb/players/brandon-meriweather-1.html,0,Brandon Meriweather,DB,,Miami (FL),2026-04-02T07:24:07.787Z,,season_totals,
,,SR,,Ind,2007,currentPlayer,2006,,,,,13,0,52,2,https://www.sports-reference.com/cfb/players/chinedum-ndukwe-1.html,0,Chinedum Ndukwe,WR/DB,,Notre Dame,2026-04-02T07:24:12.778Z,,season_totals,
,AA,JR,,SEC,2007,currentPlayer,2006,,,,,14,1,70,6,https://www.sports-reference.com/cfb/players/reggie-nelson-1.html,0,Reggie Nelson,DB,,Florida,2026-04-02T07:24:17.443Z,,season_totals,
,,SR,,Sun Belt,2007,currentPlayer,2006,,,,,12,0,50,4,https://www.sports-reference.com/cfb/players/kevin-payne-1.html,0,Kevin Payne,RB/DB,,Louisiana-Monroe,2026-04-02T07:24:32.716Z,,season_totals,
,,SR,,Pac-10,2007,currentPlayer,2006,,,,,14,0,35,5,https://www.sports-reference.com/cfb/players/sabby-piscitelli-1.html,0,Sabby Piscitelli,DB,,Oregon State,2026-04-02T07:24:37.394Z,,season_totals,
,,JR,,Big East,2007,currentPlayer,2006,,,,,12,2,76,2,https://www.sports-reference.com/cfb/players/darrelle-revis-1.html,0,Darrelle Revis,DB,,Pitt,2026-04-02T07:24:42.287Z,,season_totals,
,,SR,,Big 12,2007,currentPlayer,2006,,,,,13,0,7,6,https://www.sports-reference.com/cfb/players/aaron-ross-1.html,0,Aaron Ross,DB,,Texas,2026-04-02T07:24:47.465Z,,season_totals,
,,SR,,ACC,2007,currentPlayer,2006,,,,,13,0,28,1,https://www.sports-reference.com/cfb/players/aaron-rouse-1.html,0,Aaron Rouse,LB,,Virginia Tech,2026-04-02T07:24:52.628Z,,season_totals,
,,SR,,SEC,2007,currentPlayer,2006,,,,,13,0,59,4,https://www.sports-reference.com/cfb/players/jonathan-wade-1.html,0,Jonathan Wade,WR/DB,,Tennessee,2026-04-02T07:25:07.630Z,,season_totals,
,AA,SR,,MWC,2007,currentPlayer,2006,,,,,13,2,80,7,https://www.sports-reference.com/cfb/players/eric-weddle-1.html,0,Eric Weddle,DB,,Utah,2026-04-02T07:25:12.409Z,,season_totals,
,,SR,,MWC,2007,currentPlayer,2006,,,,,12,0,15,1,https://www.sports-reference.com/cfb/players/john-wendling-1.html,0,John Wendling,DB,,Wyoming,2026-04-02T07:25:17.590Z,,season_totals,
,,SR,,MWC,2007,currentPlayer,2006,,,,,13,0,45,4,https://www.sports-reference.com/cfb/players/marvin-white-1.html,0,Marvin White,DB,,Texas Christian,2026-04-02T07:25:22.756Z,,season_totals,
,,SR,,Big 12,2007,currentPlayer,2006,,,,,12,1,98,4,https://www.sports-reference.com/cfb/players/cj-wilson-2.html,0,C.J. Wilson,DB,,Baylor,2026-04-02T07:25:32.682Z,,season_totals,
,,SR,,ACC,2007,currentPlayer,2006,,,,,13,0,21,1,https://www.sports-reference.com/cfb/players/josh-wilson-1.html,0,Josh Wilson,DB,,Maryland,2026-04-02T07:25:37.500Z,,season_totals,
,,JR,,MWC,2007,currentPlayer,2006,,,,,9,0,32,1,https://www.sports-reference.com/cfb/players/eric-wright-1.html,0,Eric Wright,DB,,Nevada-Las Vegas,2026-04-02T07:25:42.822Z,,season_totals,
,,SR,,Big Ten,2008,currentPlayer,2007,,,,,12,0,0,0,https://www.sports-reference.com/cfb/players/dominique-barber-1.html,8,Dominique Barber,DB,,Minnesota,2026-04-02T07:25:47.465Z,,season_totals,
