assisted_tackles,awards,class,combined_tackles,conference,final_season_year,forced_fumbles,fumble_recoveries,fumble_recovery_tds,fumble_recovery_yards,games,interception_tds,interception_yards,interceptions,page_url,passes_defended,player,pos,sacks,school,scraped_at,solo_tackles,source_type,tfl
20,,SR,42,ACC,2008,0,0,0,0,14,0,0,0,https://www.sports-reference.com/cfb/players/bj-raji-1.html,5,B.J. Raji,DL,7.5,Boston College,2026-04-01T15:26:14.113Z,22,season_totals,14.0
23,,JR,58,SEC,2022,1,1,0,0,11,0,0,0,https://www.sports-reference.com/cfb/players/bj-ojulari-1.html,0,BJ Ojulari,LB/DE,5.5,LSU,2026-04-01T15:26:33.631Z,35,season_totals,8.5
26,,SR,73,SEC,2012,3,0,0,0,10,0,44,3,https://www.sports-reference.com/cfb/players/bacarri-rambo-1.html,0,Bacarri Rambo,DB,1.0,Georgia,2026-04-01T15:26:40.669Z,47,season_totals,1.0
19,,SR,43,ACC,2006,0,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/baraka-atkins-1.html,3,Baraka Atkins,DL,5.0,Miami (FL),2026-04-01T15:26:47.638Z,24,season_totals,12.0
17,,JR,38,SEC,2012,1,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/barkevious-mingo-1.html,3,Barkevious Mingo,DL,4.5,LSU,2026-04-01T15:26:54.613Z,21,season_totals,8.5
10,,SR,30,Big Ten,2020,2,2,0,0,7,0,0,0,https://www.sports-reference.com/cfb/players/baron-browning-1.html,2,Baron Browning,LB,1.0,Ohio State,2026-04-01T15:27:01.640Z,20,season_totals,3.0
40,,SR,82,ACC,2024,0,1,0,0,14,0,0,0,https://www.sports-reference.com/cfb/players/barrett-carter-1.html,7,Barrett Carter,LB,3.5,Clemson,2026-04-01T15:27:08.683Z,42,season_totals,10.5
39,,SR,62,Big Ten,2005,2,0,0,0,12,0,16,1,https://www.sports-reference.com/cfb/players/barry-cofield-1.html,0,Barry Cofield,DL,2.0,Northwestern,2026-04-01T15:27:23.076Z,23,season_totals,6.5
28,,SR,44,SEC,2024,0,0,0,0,16,0,0,0,https://www.sports-reference.com/cfb/players/barryn-sorrell-1.html,1,Barryn Sorrell,LB/DL,6.0,Texas,2026-04-01T15:27:29.821Z,16,season_totals,11.0
17,,JR,56,ACC,2013,2,0,0,0,13,0,49,4,https://www.sports-reference.com/cfb/players/bashaud-breeland-1.html,10,Bashaud Breeland,DB/CB,2.0,Clemson,2026-04-01T15:27:36.862Z,39,season_totals,5.0
38,,SR,75,ACC,2021,1,1,0,0,11,0,3,1,https://www.sports-reference.com/cfb/players/baylon-spector-1.html,1,Baylon Spector,LB,2.5,Clemson,2026-04-01T15:27:43.858Z,37,season_totals,4.5
47,,SR,126,MWC,2007,5,0,0,0,12,1,13,4,https://www.sports-reference.com/cfb/players/beau-bell-1.html,0,Beau Bell,LB,3.0,Nevada-Las Vegas,2026-04-01T15:27:51.014Z,79,season_totals,9.5
15,,SR,57,Big 12,2018,2,2,1,50,13,0,0,0,https://www.sports-reference.com/cfb/players/ben-banogu-1.html,0,Ben Banogu,DL/DE,8.5,Texas Christian,2026-04-01T15:27:57.917Z,42,season_totals,18.0
82,,SR,176,Pac-12,2018,4,3,0,0,14,0,22,2,https://www.sports-reference.com/cfb/players/ben-burr-kirven-1.html,6,Ben Burr-Kirven,LB,2.0,Washington,2026-04-01T15:28:04.925Z,94,season_totals,5.5
68,,SR,106,Big Ten,2016,0,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/ben-gedeon-1.html,2,Ben Gedeon,LB,4.5,Michigan,2026-04-01T15:28:19.113Z,38,season_totals,15.5
39,,SR,127,Big 12,2014,2,1,0,0,12,0,37,1,https://www.sports-reference.com/cfb/players/ben-heeney-1.html,1,Ben Heeney,LB,1.5,Kansas,2026-04-01T15:28:26.077Z,88,season_totals,12.0
36,,JR,71,SEC,2014,1,3,0,9,13,0,0,0,https://www.sports-reference.com/cfb/players/benardrick-mckinney-1.html,4,Benardrick McKinney,LB,3.0,Mississippi State,2026-04-01T15:28:47.081Z,35,season_totals,8.0
17,,SR,56,MWC,2013,1,1,0,0,11,0,33,5,https://www.sports-reference.com/cfb/players/bene-benwikere-1.html,11,Bene Benwikere,DB/CB,1.0,San Jose State,2026-04-01T15:28:54.143Z,39,season_totals,2.0
6,,JR,20,Ind,2024,0,0,0,0,6,0,0,0,https://www.sports-reference.com/cfb/players/benjamin-morrison-1.html,4,Benjamin  Morrison,CB,0.0,Notre Dame,2026-04-01T15:29:01.110Z,14,season_totals,0.0
3,,JR,14,Big Ten,2020,0,0,0,0,5,0,0,0,https://www.sports-reference.com/cfb/players/benjamin-st-juste-1.html,3,Benjamin St-Juste,DB,0.0,Minnesota,2026-04-01T15:29:08.174Z,11,season_totals,0.0
